"","employees","salaries_2017","salaries_2018","change","got_raise"
"61","Employee 61",42173.4520792961,42720.1942063402,546.742127044126,TRUE
"62","Employee 62",40176.5315956436,40013.5741953272,-162.957400316373,FALSE
"63","Employee 63",45235.8132600784,45418.4336285107,182.620368432254,TRUE
"64","Employee 64",46495.7921905443,52867.916142568,6372.12395202368,TRUE
"65","Employee 65",47556.4380455762,50152.7031033766,2596.26505780034,TRUE
"66","Employee 66",47607.6224097051,50821.0078929551,3213.38548325002,TRUE
"67","Employee 67",44772.4724560976,52017.7396247163,7245.26716861874,TRUE
"68","Employee 68",45895.9420025349,47684.9059178494,1788.96391531453,TRUE
"69","Employee 69",42851.9102348946,49531.9773745723,6680.0671396777,TRUE
"70","Employee 70",46003.36400792,53187.0959163643,7183.73190844432,TRUE
"71","Employee 71",49960.0673303939,49697.8454256896,-262.221904704347,FALSE
"72","Employee 72",45073.0302836746,49116.3297090679,4043.29942539334,TRUE
"73","Employee 73",47161.0474563204,45817.8859797772,-1343.16147654317,FALSE
"74","Employee 74",49062.1243603528,44383.1551808398,-4678.96917951293,FALSE
"75","Employee 75",41407.7302184887,36737.4590132385,-4670.27120525017,FALSE
"76","Employee 76",49536.5434605628,58069.0358963329,8532.49243577011,TRUE
"77","Employee 77",43849.5150650851,40700.341820484,-3149.17324460112,FALSE
"78","Employee 78",42097.5813246332,42079.394221073,-18.1871035601944,FALSE
"79","Employee 79",46823.3070964925,52509.1996276751,5685.89253118262,TRUE
"80","Employee 80",49877.7606082149,58395.6945233513,8517.93391513638,TRUE
"81","Employee 81",48465.5657946132,55093.9732673578,6628.40747274458,TRUE
"82","Employee 82",44233.872438781,54029.4563444331,9795.58390565217,TRUE
"83","Employee 83",46301.1193694547,53876.9957888871,7575.87641943246,TRUE
"84","Employee 84",40661.3971898332,49629.5636228751,8968.16643304192,TRUE
"85","Employee 85",45923.8881384954,51806.9523584563,5883.06421996094,TRUE
"86","Employee 86",43107.7854172327,39514.4519733731,-3593.33344385959,FALSE
"87","Employee 87",48878.6759856157,47548.1149822008,-1330.56100341491,FALSE
"88","Employee 88",45941.4355200715,44380.5107322987,-1560.92478777282,FALSE
"89","Employee 89",45794.5309230126,45347.0628883224,-447.468034690246,FALSE
"90","Employee 90",43893.6721300706,52237.5842335168,8343.9121034462,TRUE
"91","Employee 91",40311.9790134951,40349.5466464665,37.5676329713315,TRUE
"92","Employee 92",46854.2923778296,50394.0947633237,3539.80238549411,TRUE
"93","Employee 93",48939.1927514225,56171.4535776991,7232.26082627662,TRUE
"94","Employee 94",48894.9794159271,52465.548554901,3570.56913897395,TRUE
"95","Employee 95",48242.0612405986,47480.9499573894,-761.111283209175,FALSE
"96","Employee 96",41935.0340473466,45189.5214780234,3254.48743067682,TRUE
"97","Employee 97",46060.5229833163,55797.0160152763,9736.49303195998,TRUE
"98","Employee 98",43041.827972047,43961.3857807126,919.557808665559,TRUE
"99","Employee 99",41078.9727279916,43518.072871957,2439.10014396533,TRUE
"100","Employee 100",42790.1141997427,49008.3426865749,6218.22848683223,TRUE
